bid_id	contract_year	version	bnchmk_e0012	bnchmk_e0013	bnchmk_e0014	bnchmk_e0015	bnchmk_e0016	bnchmk_e0017	bnchmk_e0018	bnchmk_e0019	bnchmk_e0023	bnchmk_e0024	bnchmk_e0025	bnchmk_e0036	bnchmk_f0012	bnchmk_f0015	bnchmk_f0036	bnchmk_g0012	bnchmk_g0015	bnchmk_g0031	bnchmk_g0036	bnchmk_h0036	bnchmk_i0036	bnchmk_j0036	bnchmk_k0036	bnchmk_l0016	bnchmk_l0017	bnchmk_l0018	bnchmk_l0036	bnchmk_m0016	bnchmk_m0017	bnchmk_m0018	bnchmk_m0036	bnchmk_n0036	bnchmk_o0036	bnchmk_p0036	bnchmk_q0036	bnchmk_r0036	bnchmk_s0036	bnchmk_t0036	bnchmk_t0037	bnchmk_u0036
E5088_801_0	2011	5	138432	799.3274	0.00438	0.9018	0.897850116	717.6762	747.46	832.5	0	0	33.17	138432	137713	0.9018	0.9018	719	0.9018		0	799.3274	720.8335	1	832.4998	0.746	0.254	1	0.5307		N/A		0.4693	0.081492394	0.162164688	0.233	n/a	n/a	n/a	37296	0.269417476	n/a
E6036_801_0	2011	4	28800	616.7548	0.003441667	0.9576	0.95430426	588.5718	405.51	424.93	183.06	137.3	0	28800	28800	0.9576	0.9576	0	0		0	616.7548	590.6044	1	424.9274	0.746	0.254	1	0.5307		N/A		0.4693	0.153323022	0.15551584	0.233	n/a	n/a	n/a	20578	0.714513889	"San Juan-Caguas-Guaynabo, PR"
H0084_001_0	2011	5	14569.21119	968.5538	0.007	0.751135423	0.745877475	722.4225	666.89	894.1	55.53	41.65	0	14569.21119	14569.21119	0.751135423	0.751135423	0	0		0	968.5538	727.5151	1	894.1013	0.746	0.254	1	0.5307		N/A		0.4693	0.074625861	0.188647436	0.233	n/a	n/a	n/a	4971.178411	0.341211226	n/a
H0104_010_1	2011	4	48634.76224	848.9332	0.000541118	0.887566382	0.887086104	753.0769	765.32	862.73	0	0	13.8	48634.76224	48132.55178	0.887566382	0.887566382	502.2104618	0.887566382		0	848.9332	753.4846	1	862.7347	0.746	0.254	1	0.5307		N/A		0.4693	0.090717515	0.174891284	0.233	n/a	n/a	n/a	29424.56875	0.605011054	"Mobile, AL"
H0104_010_2	2011	4	3667.617786	738.83	0.000541118	0.730387559	0.729992333	539.3402	564.07	772.71	0	0	33.88	3667.617786	3629.745368	0.730387559	0.730387559	37.87241753	0.730387559		0	738.83	539.6322	1	772.7067	0.746	0.254	1	0.5307		N/A		0.4693	0.090717515	0.174891284	0.233	n/a	n/a	n/a	3667.617786	1	"Auburn-Opelika, AL"
H0104_010_3	2011	5	7082.185837	814.5193	0.000541118	0.863096935	0.862629897	702.6287	757.87	878.56	0	0	64.04	7082.185837	6984.216252	0.863096935	0.863096935	97.96958545	0.863096935		0	814.5193	703.0091	1	878.5575	0.746	0.254	1	0.5307		N/A		0.4693	0.090717515	0.174891284	0.233	n/a	n/a	n/a	7082.185837	1	"Montgomery, AL"
H0104_010_4	2011	4	97987.19429	837.797	0.000541118	0.91869908	0.918201955	769.2669	757.5	824.98	11.77	8.83	0	97987.19429	97088.07471	0.91869908	0.91869908	899.1195753	0.91869908		0	837.797	769.6834	1	824.9819	0.746	0.254	1	0.5307		N/A		0.4693	0.084633028	0.184630906	0.233	n/a	n/a	n/a	97987.19429	1	"Birmingham-Hoover, AL"
H0104_010_5	2011	4	32696.86486	767.3792	0.000541118	0.86384415	0.863376709	662.5373	724.61	839.27	0	0	71.89	32696.86486	32303.30892	0.86384415	0.86384415	393.5559469	0.86384415		0	767.3792	662.896	1	839.2744	0.746	0.254	1	0.5307		N/A		0.4693	0.090278637	0.174565855	0.233	n/a	n/a	n/a	10616.02047	0.324680073	n/a
H0104_011_1	2011	5	1200	743.194	0.0006836	0.860484111	0.859895884	639.0695	800.18	930.55	0	0	187.36	1200	1176.258112	0.860484111	0.860484111	23.74188759	0.860484111		0	743.194	639.5066	1	930.5545	0.746	0.254	1	0.5307		N/A		0.4693	0.090717515	0.174891284	0.233	n/a	n/a	n/a	1200	1	"Tuscaloosa, AL"
H0104_011_2	2011	6	3235.458629	777.2252	0.0006836	0.919396389	0.91876789	714.0896	808.22	879.68	0	0	102.45	3235.458629	3125.054411	0.919396389	0.919396389	110.4042183	0.919396389		0	777.2252	714.578	1	879.6781	0.746	0.254	1	0.5307		N/A		0.4693	0.090717515	0.174891284	0.233	n/a	n/a	n/a	2050.308948	0.633699634	"Gadsden, AL"
H0104_011_3	2011	6	146042.286	764.4772	0.0006836	0.836599802	0.836027902	639.1243	655.5	784.06	0	0	19.58	146042.286	143168.2243	0.836599802	0.836599802	2874.061702	0.836599802		0	764.4772	639.5615	1	784.0647	0.746	0.254	1	0.5307		N/A		0.4693	0.090717515	0.174891284	0.233	n/a	n/a	n/a	144823.973	0.991657806	Not in a Metro Area
H0104_011_4	2011	6	79192.67586	767.3939	0.0006836	0.807308345	0.806756469	619.1	637.47	790.16	0	0	22.77	79192.67586	77851.56198	0.807308345	0.807308345	1341.113885	0.807308345		0	767.3939	619.5235	1	790.1641	0.746	0.254	1	0.5307		N/A		0.4693	0.090280057	0.174566832	0.233	n/a	n/a	n/a	25631.02334	0.323653962	n/a
H0104_011_5	2011	6	22893.14413	814.5191	0.0006836	0.809416816	0.808863498	658.8347	669.35	827.52	0	0	13	22893.14413	22470.64621	0.809416816	0.809416816	422.4979188	0.809416816		0	814.5191	659.2854	1	827.5191	0.746	0.254	1	0.5307		N/A		0.4693	0.090717515	0.174891284	0.233	n/a	n/a	n/a	22893.14413	1	"Montgomery, AL"
H0104_011_6	2011	6	167674.4418	841.3656	0.0006836	0.784482023	0.783945751	659.585	566.76	722.96	92.82	69.62	0	167674.4418	165970.7503	0.784482023	0.784482023	1703.691452	0.784482023		0	841.3656	660.0362	1	722.9582	0.746	0.254	1	0.5307		N/A		0.4693	0.086923041	0.181147516	0.233	n/a	n/a	n/a	103117.2142	0.614984688	"Birmingham-Hoover, AL"
H0104_801_0	2011	2	1192.51464	811.6847	0	0.925096304	0.925096304	750.8865	774.94	837.69	0	0	26.01	1192.51464	1174.574974	0.925096304	0.925096304	17.93966626	0.925096304		0	811.6847	750.8865	1	837.6858	0.746	0.254	1	0.5307		N/A		0.4693	0.090598562	0.175089694	0.233	n/a	n/a	n/a	1082.517931	0.907760706	"Montgomery, AL"
H0104_802_0	2011	3	1192.50936	790.9065	0	0.977429587	0.977429587	773.0554	808.51	827.18	0	0	36.27	1192.50936	1179.872843	0.977429587	0.977429587	12.63651677	0.977429587		0	790.9065	773.0554	1	827.1798	0.746	0.254	1	0.5307		N/A		0.4693	0.08992322	0.176149247	0.233	n/a	n/a	n/a	356.3845555	0.298852627	n/a
H0104_804_0	2011	2	1192.50936	790.9065	0	0.977429587	0.977429587	773.0554	808.51	827.18	0	0	36.27	1192.50936	1179.872843	0.977429587	0.977429587	12.63651677	0.977429587		0	790.9065	773.0554	1	827.1798	0.746	0.254	1	0.5307		N/A		0.4693	0.08992322	0.176149247	0.233	n/a	n/a	n/a	356.3845555	0.298852627	n/a
H0108_004_0	2011	5	3337	803.8733	0.002543	0.899963	0.897674394	721.6165	643.03	716.33	78.59	58.94	0	3337	3254	0.9039	0.899963	83	0.745613627		0	803.8733	723.4563	1	716.3288	0.746	0.254	1	0.5307		N/A		0.4693	0.062444718	0.154946027	0.233	n/a	n/a	n/a	2595	0.777644591	"Fresno, CA"
H0108_005_0	2011	5	1848	896.9077	0.002543	0.971646	0.969175104	869.2606	718.1	740.94	151.16	113.37	0	1848	1807	0.963201	0.971646	41	1.343843927		0	896.9077	871.4768	1	740.9394	0.746	0.254	1	0.5307		N/A		0.4693	0.068592167	0.140424165	0.233	n/a	n/a	n/a	1848	1	"Riverside-San Bernardino-Ontario, CA"
H0108_006_0	2011	5	1200	897.3797	0.002543	0.971738	0.96926687	869.8004	782.37	807.18	87.43	65.57	0	1200	1165	0.911553	0.971738	35	2.975038714		0	897.3797	872.018	1	807.1771	0.746	0.254	1	0.5307		N/A		0.4693	0.068592167	0.140424165	0.233	n/a	n/a	n/a	1200	1	"Riverside-San Bernardino-Ontario, CA"
H0108_008_0	2011	6	21381	838.9	0.002543	0.977517	0.975031174	817.9537	728.48	747.14	89.47	67.1	0	21381	20848	0.972	0.977517	533	1.193311402		0	838.9	820.039	1	747.1351	0.746	0.254	1	0.5307		N/A		0.4693	0.074913319	0.140752625	0.233	n/a	n/a	n/a	21381	1	"San Diego-Carlsbad-San Marcos, CA"
H0108_009_0	2011	5	21381	838.9	0.002543	0.959317	0.956877457	802.7245	750.46	784.28	52.26	39.2	0	21381	20848	0.9539	0.959317	533	1.171199957		0	838.9	804.771	1	784.2802	0.746	0.254	1	0.5307		N/A		0.4693	0.074913319	0.140752625	0.233	n/a	n/a	n/a	21381	1	"San Diego-Carlsbad-San Marcos, CA"
H0108_010_0	2011	5	6609	809.3721	0.002543	0.89996	0.897671402	726.5501	672.99	749.71	53.56	40.17	0	6609	6445	0.8949	0.89996	164	1.098811829		0	809.3721	728.4025	1	749.7064	0.746	0.254	1	0.5307		N/A		0.4693	0.062211161	0.15850498	0.233	n/a	n/a	n/a	5867	0.887728855	"Fresno, CA"
H0108_801_0	2011	3	1200	863.2203	0.002543	0.9782	0.975712437	842.2548	701.69	719.16	140.56	105.42	0	1200	1200	0.9782	0.9782	0	0		0	863.2203	844.4021	1	719.1566	0.746	0.254	1	0.5307		N/A		0.4693	0.070192569	0.142621773	0.233	n/a	n/a	n/a	581.62	0.484683333	n/a
H0108_802_0	2011	3	1200	863.2203	0.002543	0.9782	0.975712437	842.2548	701.69	719.16	140.56	105.42	0	1200	1200	0.9782	0.9782	0	0		0	863.2203	844.4021	1	719.1566	0.746	0.254	1	0.5307		N/A		0.4693	0.070192569	0.142621773	0.233	n/a	n/a	n/a	581.62	0.484683333	n/a
H0108_803_0	2011	3	1200	863.2203	0.002543	0.9782	0.975712437	842.2548	701.69	719.16	140.56	105.42	0	1200	1200	0.9782	0.9782	0	0		0	863.2203	844.4021	1	719.1566	0.746	0.254	1	0.5307		N/A		0.4693	0.070192569	0.142621773	0.233	n/a	n/a	n/a	581.62	0.484683333	n/a
H0117_005_0	2011	6	32397	814.4987	0.005741434	0.989519799	0.983838536	801.3352	665.65	676.58	135.69	101.77	0	32397	29727.87238	0.989519799	0.989519799	2669.127617	0.989519799		0	814.4987	805.9626	1	676.5846	0.746	0.254	1	0.5307		N/A		0.4693	0.079702984	0.165930126	0.233	n/a	n/a	n/a	17931	0.553477174	"Cleveland-Elyria-Mentor, OH"
H0117_007_0	2011	6	13114	814.5095	0	1.230112402	1.230112402	1001.9382	975.52	793.03	26.42	19.82	0	13114	303.3205687	1.230112402	1.230112402	12810.67943	1.230112402		0	814.5095	1001.9382	1	793.0332	0.746	0.254	1	0.5307		N/A		0.4693	0.079459239	0.165016109	0.233	n/a	n/a	n/a	5997	0.457297545	n/a
H0141_001_0	2011	8	5560.252174	813.0514	0	1.255545331	1.255545331	1020.8229	980.48	780.92	40.34	30.26	0	5560.252174	0	1.255545331	1.255545331	5560.252174	1.255545331		0	813.0514	1020.8229	1	780.9196	0.746	0.254	1	0.5307		N/A		0.4693	0.074049233	0.166674563	0.233	n/a	n/a	n/a	1473.095652	0.264933245	n/a
H0150_001_0	2011	8	158148	837.2241	0.0207	1.085	1.0625405	889.5845	736.52	693.17	153.06	114.8	0	158148	158148	1.085	1.085	0	0		0	837.2241	908.3881	1	693.1689	0.746	0.254	1	0.5307		N/A		0.4693	0.088791919	0.178145877	0.233	n/a	n/a	n/a	69600	0.440094089	n/a
H0150_007_0	2011	9	163896	821.9392	0.0052	1.355	1.347954	1107.9362	1009.59	748.98	98.35	73.76	0	163896	57363.6	1.31665	1.355	106532.4	1.37565		0	821.9392	1113.7276	1	748.9796	0.746	0.254	1	0.5307		N/A		0.4693	0.088635259	0.178403268	0.233	n/a	n/a	n/a	54744	0.334016694	n/a
H0150_010_0	2011	8	11460	781.6006	0.0174	1.065	1.046469	817.9208	761.59	727.77	56.33	42.25	0	11460	11460	1.065	1.065	0	0		0	781.6006	832.4047	1	727.7712	0.746	0.254	1	0.5307		N/A		0.4693	0.088114567	0.179251044	0.233	n/a	n/a	n/a	4800	0.418848168	n/a
H0150_012_0	2011	6	10657	828.7496	0.0385	0.947	0.9105405	754.6101	634.36	696.69	120.25	90.19	0	10657	10657	0.947	0.947	0	0		0	828.7496	784.8259	1	696.6851	0.746	0.254	1	0.5307		N/A		0.4693	0.089314926	0.17727868	0.233	n/a	n/a	n/a	4020	0.377216853	n/a
H0150_023_0	2011	9	46465	834.7093	0.023475033	1.075	1.049764339	876.2481	750.43	714.86	125.82	94.37	0	46465	46465	1.075	1.075	0	0		0	834.7093	897.3125	1	714.8557	0.746	0.254	1	0.5307		N/A		0.4693	0.088243823	0.179041692	0.233	n/a	n/a	n/a	18481	0.397740235	n/a
H0150_802_0	2011	3	12966	815.8436	0.0062	1.588	1.5781544	1287.5271	1069.74	677.84	217.79	163.34	0	12966	12966	1.588	1.588	0	0		0	815.8436	1295.5596	1	677.8424	0.746	0.254	1	0.5307		N/A		0.4693	0.084961398	0.184143198	0.233	n/a	n/a	n/a	12241	0.944084529	"Birmingham-Hoover, AL"
H0150_804_0	2011	3	12966	815.8436	0.0062	1.588	1.5781544	1287.5271	1069.74	677.84	217.79	163.34	0	12966	12966	1.588	1.588	0	0		0	815.8436	1295.5596	1	677.8424	0.746	0.254	1	0.5307		N/A		0.4693	0.084961398	0.184143198	0.233	n/a	n/a	n/a	12241	0.944084529	"Birmingham-Hoover, AL"
H0151_001_0	2011	5	295072.1037	841.0994	0.001659826	0.951974799	0.950394687	799.3764	693.25	729.43	106.13	79.6	0	295072.1037	241746.4653	0.897042694	0.951974799	53325.63841	1.201004019		0	841.0994	800.7055	1	729.4338	0.746	0.254	1	0.5307		N/A		0.4693	0.087508474	0.180223181	0.233	n/a	n/a	n/a	152925.4095	0.518264545	"Birmingham-Hoover, AL"
H0151_015_0	2011	3	85350.57565	832.9387	0.000472593	1.225571652	1.224992455	1020.3436	944.89	771.34	75.45	56.59	0	85350.57565	26793.50765	1.318494048	1.225571652	58557.06801	1.183053865		0	832.9387	1020.8261	1	771.3435	0.746	0.254	1	0.5307		N/A		0.4693	0.087631243	0.180027525	0.233	n/a	n/a	n/a	42510.40925	0.498068219	n/a
H0151_801_0	2011	1	4783.999172	836.0721	0.001064064	0.966638862	0.965610296	807.3198	738.27	764.56	69.05	51.79	0	4783.999172	4746.055342	0.962084159	0.966638862	37.94383052	1.536346052		0	836.0721	808.1797	1	764.5631	0.746	0.254	1	0.5307		N/A		0.4693	0.08483993	0.184324547	0.233	n/a	n/a	n/a	4615.45714	0.964769636	"Birmingham-Hoover, AL"
H0151_804_0	2011	1	59.38754423	830.9851	0.001302741	0.966638862	0.965379582	802.216	717.87	743.61	84.35	63.26	0	59.38754423	58.91651762	0.962084159	0.966638862	0.47102661	1.536346052		0	830.9851	803.2625	1	743.6142	0.746	0.254	1	0.5307		N/A		0.4693	0.087706163	0.179907815	0.233	n/a	n/a	n/a	28.84798818	0.485758227	n/a
H0151_805_0	2011	1	59.38754423	836.072	0.001302741	0.966638862	0.965379582	807.1269	737.29	763.73	69.84	52.38	0	59.38754423	58.91651762	0.962084159	0.966638862	0.47102661	1.536346052		0	836.072	808.1797	1	763.7307	0.746	0.254	1	0.5307		N/A		0.4693	0.084839935	0.184324539	0.233	n/a	n/a	n/a	57.29524352	0.964768695	"Birmingham-Hoover, AL"
H0154_001_0	2011	6	183036.3501	820.0076	0.003621923	1.048791587	1.044992944	856.9021	733.36	701.78	123.54	92.66	0	183036.3501	147174.5933	0.978095619	1.048791587	35861.75679	1.338923782		0	820.0076	860.0171	1	701.7846	0.746	0.254	1	0.5307		N/A		0.4693	0.085871495	0.182772657	0.233	n/a	n/a	n/a	144680.1616	0.790444966	"Birmingham-Hoover, AL"
H0154_008_0	2011	3	14508.16449	820.2804	0.00650359	1.014230699	1.007634559	826.5429	699.39	694.09	127.15	95.36	0	14508.16449	14459.94459	1.014230699	1.014230699	48.21990691	1.014230699		0	820.2804	831.9536	1	694.0909	0.746	0.254	1	0.5307		N/A		0.4693	0.085896492	0.182734538	0.233	n/a	n/a	n/a	11407.01451	0.786247944	"Birmingham-Hoover, AL"
H0154_011_0	2011	6	49419.43023	821.0496	0.007054798	1.019053857	1.011864638	830.791	727.37	718.84	103.42	77.57	0	49419.43023	49055.97783	1.019053857	1.019053857	363.452398	1.019053857		0	821.0496	836.6937	1	718.8412	0.746	0.254	1	0.5307		N/A		0.4693	0.085966997	0.182626887	0.233	n/a	n/a	n/a	38271.2325	0.774416709	"Birmingham-Hoover, AL"
