"Contract Number","Plan ID","Organization Type","Plan Type","Offers Part D","Organization Name","Organization Marketing Name","Plan Name","Parent Organization","Contract Effective Date","Enrollment"
"90091",,"HCPP - 1833 Cost","HCPP - 1833 Cost","No","UNITED MINE WORKERS OF AMERICA HEALTH & RETIREMENT","United Mine Workers of America Health & Retirement",,"UMWA Health and Retirement Funds",02/01/1974 0:00:00,"29100"
"E0654","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","IBT VOLUNTARY EMPLOYEE BENEFITS TRUST","TEAMStar Medicare Part D Prescription Drug Program","IBT VEBA (Employer PDP)","IBT Voluntary Employee Benefits Trust",01/01/2007 0:00:00,"16338"
"E2332","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION","National Rural Electric Cooperative Association","NRECA Medicare Part D Plan (Employer PDP)","National Rural Electric Cooperative Association",01/01/2007 0:00:00,"8275"
"E2630","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","C AND O EMPLOYEES HOSPITAL ASSOCIATION","C and O Employees Hospital Association","C and O Employees Hospital Association (Employer PDP)","C & O Employees' Hospital Association",01/01/2007 0:00:00,"2378"
"E2868","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","CARPENTER'S HEALTH  AND WELFARE TRUST FUND OF STL","Carpenters' District Council of Greater St. Louis","Carpenters' 2012 Plan (Employer PDP)","Carpenters H&W Trust Fund of St. Louis",01/01/2007 0:00:00,"3917"
"E3014","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","PSERS HOP PROGRAM","Pennsylvania Public School Employees Retirement Sy","PSERS HOP (Employer PDP)","Commonwealth of PA Pub Schools Retirement System",01/01/2007 0:00:00,"53769"
"E4744","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","MO DOT AND MSHP MEDICAL AND LIFE INS PLAN","MISSOURI DEPARTMENT OF TRANSPORTATION","Missouri Department of Transportaion/ Highway Patr (Employer PDP)","Missouri  DOT/State Highway Patrol Med & Life Ins",01/01/2007 0:00:00,"5728"
"E5088","801","Employer/Union Only Direct Contract PFFS","Employer/Union Only Direct Contract PFFS","No","DESERET HEALTHCARE EMPLOYEE BENEFITS TRUST","Deseret Mutual","Deseret Secure (Employer PFFS)","DMBA (Deseret Mutual Benefit Administrators)",01/01/2007 0:00:00,"12186"
"E6322","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","KENTUCKY RETIREMENT SYSTEM","Kentucky Retirement Systems","Kentucky Retirement Systems (Employer PDP)","Kentucky Retirement Systems",01/01/2010 0:00:00,"36422"
"E7316","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS","Union Pacific Railroad  Employes Health Systems","The UPREHS Prime Medicare Plan (Employer PDP)","Union Pacific Railroad Employes Health Systems",01/01/2007 0:00:00,"12038"
