bid_id	contract_year	version	bnchmk_e0012	bnchmk_e0013	bnchmk_e0014	bnchmk_e0015	bnchmk_e0016	bnchmk_e0017	bnchmk_e0018	bnchmk_e0019	bnchmk_e0023	bnchmk_e0024	bnchmk_e0025	bnchmk_e0036	bnchmk_f0012	bnchmk_f0015	bnchmk_f0036	bnchmk_g0012	bnchmk_g0015	bnchmk_g0031	bnchmk_g0036	bnchmk_h0036	bnchmk_i0036	bnchmk_j0036	bnchmk_k0036	bnchmk_l0016	bnchmk_l0017	bnchmk_l0018	bnchmk_l0024	bnchmk_l0025	bnchmk_l0026	bnchmk_l0036	bnchmk_m0016	bnchmk_m0017	bnchmk_m0018	bnchmk_m0036	bnchmk_n0036	bnchmk_o0036	bnchmk_p0036	bnchmk_q0036	bnchmk_r0036	bnchmk_s0036	bnchmk_t0036	bnchmk_t0037	bnchmk_u0036
H0084_025_0	2012	5	2755.658864	820.9557	0.009586133	0.766823006	0.759472139	623.493	583.32	768.06	40.17	29.46	0	2755.658864	2755.658864	0.766823006	0.766823006	0	0		0	820.9557	629.5277	1	768.0598	0.74	0.26	1	3	Low	0.733333333	0.52532		N/A		0.47468	0.090628659	0.184918271	0.224	n/a	n/a	n/a	1762.177775	0.639476024	"Buffalo-Niagara Falls, NY"
H0104_010_1	2012	8	17544.31018	868.9106	0.008623662	0.984373128	0.975884226	847.9562	829.2	849.69	18.76	12.51	0	17544.31018	17361.91661	0.984373128	0.984373128	182.3935729	0.984373128		0	868.9106	855.3323	1	849.691	0.74	0.26	1	3		0.666666667	0.52532		N/A		0.47468	0.094911044	0.170958136	0.224	n/a	n/a	n/a	10945.07424	0.623853211	"Mobile, AL"
H0104_010_2	2012	7	1499.354168	751.4	0.008623662	0.857255152	0.849862473	638.5867	640.91	754.13	0	0	2.73	1499.354168	1483.766632	0.857255152	0.857255152	15.58753584	0.857255152		0	751.4	644.1415	1	754.1338	0.74	0.26	1	3		0.666666667	0.52532		N/A		0.47468	0.094911044	0.170958136	0.224	n/a	n/a	n/a	1499.354168	1	"Auburn-Opelika, AL"
H0104_010_3	2012	7	5733.007741	827.2506	0.008623662	0.851351828	0.844010058	698.2078	735.65	871.61	0	0	44.36	5733.007741	5677.968549	0.851351828	0.851351828	55.03919175	0.851351828		0	827.2506	704.2813	1	871.6128	0.74	0.26	1	3		0.666666667	0.52532		N/A		0.47468	0.094911044	0.170958136	0.224	n/a	n/a	n/a	5733.007741	1	"Montgomery, AL"
H0104_010_4	2012	7	43437.72116	844.4498	0.008623662	0.983344568	0.974864537	823.2241	768.84	788.66	54.38	36.25	0	43437.72116	43069.92935	0.983344568	0.983344568	367.7918109	0.983344568		0	844.4498	830.3851	1	788.6634	0.74	0.26	1	3		0.666666667	0.52532		N/A		0.47468	0.091191821	0.18537243	0.224	n/a	n/a	n/a	43437.72116	1	"Birmingham-Hoover, AL"
H0104_010_5	2012	7	19015.66811	768.3661	0.008623662	0.973172668	0.964780356	741.3045	780.75	809.25	0	0	40.88	19015.66811	18864.90727	0.973172668	0.973172668	150.7608316	0.973172668		0	768.3661	747.7529	1	809.2516	0.74	0.26	1	3		0.666666667	0.52532		N/A		0.47468	0.092749003	0.170713117	0.224	n/a	n/a	n/a	6589.955202	0.346553966	n/a
H0104_011_1	2012	5	4286.535359	775.913	0.006828765	0.92131483	0.915023388	709.9785	856.43	935.97	0	0	160.06	4286.535359	4180.126617	0.92131483	0.92131483	106.408742	0.92131483		0	775.913	714.8602	1	935.9651	0.74	0.26	1	3		0.666666667	0.52532		N/A		0.47468	0.094911044	0.170958136	0.224	n/a	n/a	n/a	4286.535359	1	"Tuscaloosa, AL"
H0104_011_2	2012	5	15105.52664	772.6785	0.006828765	0.928816752	0.922474081	712.7759	783.21	849.03	0	0	76.35	15105.52664	14821.95799	0.928816752	0.928816752	283.568646	0.928816752		0	772.6785	717.6767	1	849.032	0.74	0.26	1	3		0.666666667	0.52532		N/A		0.47468	0.094911044	0.170958136	0.224	n/a	n/a	n/a	8007.887881	0.530129672	"Anniston-Oxford, AL"
H0104_011_3	2012	5	149191.9611	768.827	0.006828765	0.824411481	0.818781769	629.5016	622.17	759.87	7.33	4.89	0	149191.9611	146336.2924	0.824411481	0.824411481	2855.668644	0.824411481		0	768.827	633.8298	1	759.8728	0.74	0.26	1	3		0.666666667	0.52532		N/A		0.47468	0.094911044	0.170958136	0.224	n/a	n/a	n/a	147876.5104	0.991182831	Not in a Metro Area
H0104_011_4	2012	5	57815.34556	766.0373	0.006828765	0.801190049	0.79571891	609.5504	606.14	761.75	3.41	2.27	0	57815.34556	56696.60992	0.801190049	0.801190049	1118.735639	0.801190049		0	766.0373	613.7415	1	761.7514	0.74	0.26	1	3		0.666666667	0.52532		N/A		0.47468	0.093041927	0.17074404	0.224	n/a	n/a	n/a	17418.25379	0.301273885	n/a
H0104_011_5	2012	5	16069.84156	827.0531	0.006828765	0.790735353	0.785335607	649.5143	638.04	812.44	11.47	7.65	0	16069.84156	15822.19401	0.790735353	0.790735353	247.6475508	0.790735353		0	827.0531	653.9802	1	812.4425	0.74	0.26	1	3		0.666666667	0.52532		N/A		0.47468	0.094911044	0.170958136	0.224	n/a	n/a	n/a	16069.84156	1	"Montgomery, AL"
H0104_011_6	2012	5	218028.493	849.8631	0.006828765	0.79108612	0.785683979	667.7238	527.83	671.81	139.89	93.26	0	218028.493	216040.4709	0.79108612	0.79108612	1988.022102	0.79108612		0	849.8631	672.3149	1	671.8095	0.74	0.26	1	3		0.666666667	0.52532		N/A		0.47468	0.09257581	0.180065528	0.224	n/a	n/a	n/a	135786.7884	0.622793776	"Birmingham-Hoover, AL"
H0104_801_0	2012	2	1191.413266	808.5031	0.001192218	0.908608198	0.907524939	733.7367	802.26	884.01	0	0	75.51	1191.413266	1178.025143	0.908608198	0.908608198	13.38812265	0.908608198		0	808.5031	734.6125	1	884.0088	0.74	0.26	1	3		0.666666667	0.52532		N/A		0.47468	0.090888799	0.172621798	0.224	n/a	n/a	n/a	363.7203319	0.305284776	n/a
H0104_802_0	2012	2	1191.413266	808.5031	0.001192218	0.951600583	0.950466068	768.4547	798.6	840.22	0	0	31.72	1191.413266	1178.025143	0.951600583	0.951600583	13.38812265	0.951600583		0	808.5031	769.372	1	840.2194	0.74	0.26	1	3		0.666666667	0.52532		N/A		0.47468	0.090888799	0.172621798	0.224	n/a	n/a	n/a	363.7203319	0.305284776	n/a
H0104_804_0	2012	2	1191.413266	808.5031	0.001192218	0.951600583	0.950466068	768.4547	798.6	840.22	0	0	31.72	1191.413266	1178.025143	0.951600583	0.951600583	13.38812265	0.951600583		0	808.5031	769.372	1	840.2194	0.74	0.26	1	3		0.666666667	0.52532		N/A		0.47468	0.090888799	0.172621798	0.224	n/a	n/a	n/a	363.7203319	0.305284776	n/a
H0108_004_0	2012	5	27744	836.0356	0.001781	0.792654	0.791242283	661.5067	576.44	728.53	85.07	56.71	0	27744	26466.75805	0.788243	0.792654	1277.241953	0.88405788		0	836.0356	662.6869	1	728.5253	0.74	0.26	1	3	New contract under existing parent org	0.666666667	0.52532		N/A		0.47468	0.062876542	0.160601692	0.224	n/a	n/a	n/a	22192.71532	0.799910443	"Fresno, CA"
H0108_005_0	2012	6	25230.2961	890.0293	0.001781	0.888979	0.887395728	789.8082	631.29	711.4	158.52	105.68	0	25230.2961	24307.36969	0.888909	0.888979	922.926415	0.890822609		0	890.0293	791.2174	1	711.3963	0.74	0.26	1	3	New contract under existing parent org	0.666666667	0.52532		N/A		0.47468	0.067342774	0.138410396	0.224	n/a	n/a	n/a	25230.2961	1	"Riverside-San Bernardino-Ontario, CA"
H0108_006_0	2012	6	21539.8891	890.4717	0.001781	0.905394	0.903781493	804.7919	665.98	736.88	138.81	92.54	0	21539.8891	21539.8891	0.905394	0.905394	0	0		0	890.4717	806.2278	1	736.8817	0.74	0.26	1	3	New contract under existing parent org	0.666666667	0.52532		N/A		0.47468	0.067342774	0.138410396	0.224	n/a	n/a	n/a	21539.8891	1	"Riverside-San Bernardino-Ontario, CA"
H0108_008_0	2012	5	8604	832.32	0.001781	0.930706	0.929048413	773.2656	661.09	711.58	112.18	74.79	0	8604	8400.241685	0.925944	0.930706	203.758315	1.127026582		0	832.32	774.6452	1	711.5776	0.74	0.26	1	3	New contract under existing parent org	0.666666667	0.52532		N/A		0.47468	0.068521452	0.145858933	0.224	n/a	n/a	n/a	8604	1	"San Diego-Carlsbad-San Marcos, CA"
H0108_009_0	2012	6	40500.83607	832.32	0.001781	0.930706	0.929048413	773.2656	693.83	746.82	79.44	52.96	0	40500.83607	40080.85323	0.926245	0.930706	419.982833	1.356439321		0	832.32	774.6452	1	746.8179	0.74	0.26	1	3	New contract under existing parent org	0.666666667	0.52532		N/A		0.47468	0.068521452	0.145858933	0.224	n/a	n/a	n/a	40500.83607	1	"San Diego-Carlsbad-San Marcos, CA"
H0108_010_0	2012	6	18076.59074	831.584	0.001781	0.915657	0.914026215	760.0896	689.39	754.23	70.7	47.13	0	18076.59074	17771.33386	0.908249	0.915657	305.25688	1.346933246		0	831.584	761.4457	1	754.2344	0.74	0.26	1	3	New contract under existing parent org	0.666666667	0.52532		N/A		0.47468	0.062918428	0.152126482	0.224	n/a	n/a	n/a	10614.37059	0.587188742	"Fresno, CA"
H0108_011_0	2012	6	12000	950.65	0.001781	1.040581	1.038727725	987.4665	805.99	775.94	181.48	120.99	0	12000	11494.94691	1.029093	1.040581	505.053088	1.302046484		0	950.65	989.2283	1	775.9396	0.74	0.26	1	3	New contract under existing parent org	0.666666667	0.52532		N/A		0.47468	0.059843193	0.158469945	0.224	n/a	n/a	n/a	12000	1	"Los Angeles-Long Beach-Santa Ana, CA"
H0108_012_0	2012	6	12000	950.65	0.001781	1.040581	1.038727725	987.4665	861.19	829.08	126.28	84.19	0	12000	11494.94691	1.029093	1.040581	505.053088	1.302046484		0	950.65	989.2283	1	829.0816	0.74	0.26	1	3	New contract under existing parent org	0.666666667	0.52532		N/A		0.47468	0.059843193	0.158469945	0.224	n/a	n/a	n/a	12000	1	"Los Angeles-Long Beach-Santa Ana, CA"
H0108_013_0	2012	6	27000	895.38	0.001781	0.957482	0.955776725	855.7834	671.1	702.15	184.68	123.12	0	27000	25863.63055	0.946912	0.957482	1136.369447	1.198053916		0	895.38	857.3102	1	702.1514	0.74	0.26	1	3	New contract under existing parent org	0.666666667	0.52532		N/A		0.47468	0.070088168	0.142187896	0.224	n/a	n/a	n/a	27000	1	"Santa Ana-Anaheim-Irvine, CA"
H0108_014_0	2012	6	27000	895.38	0.001781	0.957482	0.955776725	855.7834	724.77	758.3	131.01	87.34	0	27000	25863.63055	0.946912	0.957482	1136.369447	1.198053916		0	895.38	857.3102	1	758.3047	0.74	0.26	1	3	New contract under existing parent org	0.666666667	0.52532		N/A		0.47468	0.070088168	0.142187896	0.224	n/a	n/a	n/a	27000	1	"Santa Ana-Anaheim-Irvine, CA"
H0108_801_0	2012	7	600	863.9462	0.001781	0.968854	0.967128471	835.547	722.67	747.23	112.88	75.25	0	600	600	0.968854	0.968854	0	0		0	863.9462	837.0378	1	747.2327	0.74	0.26	1	3	New contract under existing parent org	0.666666667	0.52532		N/A		0.47468	0.065177182	0.144230933	0.224	n/a	n/a	n/a	150	0.25	n/a
H0108_802_0	2012	2	600	863.9462	0.001781	0.968854	0.967128471	835.547	722.67	747.23	112.88	75.25	0	600	600	0.968854	0.968854	0	0		0	863.9462	837.0378	1	747.2327	0.74	0.26	1	3	New contract under existing parent org	0.666666667	0.52532		N/A		0.47468	0.065177182	0.144230933	0.224	n/a	n/a	n/a	150	0.25	n/a
H0108_803_0	2012	2	600	863.9462	0.001781	0.968854	0.967128471	835.547	722.67	747.23	112.88	75.25	0	600	600	0.968854	0.968854	0	0		0	863.9462	837.0378	1	747.2327	0.74	0.26	1	3	New contract under existing parent org	0.666666667	0.52532		N/A		0.47468	0.065177182	0.144230933	0.224	n/a	n/a	n/a	150	0.25	n/a
H0117_005_0	2012	7	36235.65102	822.6672	0.003993927	0.97509712	0.971202654	798.9765	649.78	669.05	149.2	99.47	0	36235.65102	32955.36637	0.97509712	0.97509712	3280.28465	0.97509712		0	822.6672	802.1804	1	669.0468	0.74	0.26	1	3		0.666666667	0.52532		N/A		0.47468	0.08206902	0.172517073	0.224	n/a	n/a	n/a	19301.58401	0.532668338	"Cleveland-Elyria-Mentor, OH"
H0117_007_0	2012	8	11899.51213	824.1677	0.000362213	1.223278583	1.222835495	1007.8216	923.85	755.5	83.97	55.98	0	11899.51213	302.4807022	1.223278583	1.223278583	11597.03143	1.223278583		0	824.1677	1008.1867	1	755.4982	0.74	0.26	1	3		0.666666667	0.52532		N/A		0.47468	0.081835188	0.171953873	0.224	n/a	n/a	n/a	4970.654926	0.41771922	n/a
H0141_001_0	2012	8	9799.071734	796.5936	0.0025	1.173178874	1.170245927	932.2104	869.17	742.72	63.04	46.23	0	9799.071734	446.7139656	1.173178874	1.173178874	9352.357768	1.173178874		0	796.5936	934.5468	1	742.7242	0.74	0.26	1	3	Low	0.733333333	0.52532		N/A		0.47468	0.075231824	0.176785774	0.224	n/a	n/a	n/a	2449.767933	0.25	n/a
H0150_001_0	2012	5	228622	845.4872	0.013023248	1.065960368	1.052078102	889.5185	712.27	677.01	177.25	118.17	0	228622	227944.515	1.065960368	1.065960368	677.4850428	1.065960368		0	845.4872	901.2558	1	677.0125	0.74	0.26	1	3		0.666666667	0.52532		N/A		0.47468	0.093463488	0.175786357	0.224	n/a	n/a	n/a	76067	0.332719511	n/a
H0150_007_0	2012	5	153481	846.0858	0.003575439	1.354	1.349158856	1141.5042	1029.02	762.71	112.48	74.99	0	153481	56582.26626	1.427045395	1.354	96898.73374	1.31134646		0	846.0858	1145.6002	1	762.7123	0.74	0.26	1	3		0.666666667	0.52532		N/A		0.47468	0.093549068	0.175896808	0.224	n/a	n/a	n/a	52000	0.338804152	n/a
H0150_012_0	2012	2	9996	846.288	0.04109214	0.959	0.919592637	778.2402	644.19	700.52	134.05	89.37	0	9996	9994.957773	0.959	0.959	1.042227088	0.959		0	846.288	811.5902	1	700.5167	0.74	0.26	1	3		0.666666667	0.52532		N/A		0.47468	0.093579387	0.175934873	0.224	n/a	n/a	n/a	3408	0.340936375	n/a
H0150_023_0	2012	3	34495	841.733	0.01581242	0.962	0.946788452	796.9431	667.93	705.47	129.01	86.01	0	34495	34495	0.962	0.962	0	0		0	841.733	809.7472	1	705.4691	0.74	0.26	1	3		0.666666667	0.52532		N/A		0.47468	0.092917323	0.175102303	0.224	n/a	n/a	n/a	10160	0.29453544	n/a
H0150_802_0	2012	3	67	785.5769	0.002505011	1.506	1.502227454	1180.1151	1031.66	686.75	148.46	98.97	0	67	67	1.506	1.506	0	0		0	785.5769	1183.0788	1	686.7535	0.74	0.26	1	3		0.666666667	0.52532		N/A		0.47468	0.094334627	0.172489842	0.224	n/a	n/a	n/a	39	0.582089552	Not in a Metro Area
H0150_804_0	2012	3	11716	822.4851	0.002505011	1.506	1.502227454	1235.5597	1032.05	687.01	203.51	135.67	0	11716	11716	1.506	1.506	0	0		0	822.4851	1238.6626	1	687.0131	0.74	0.26	1	3		0.666666667	0.52532		N/A		0.47468	0.091238599	0.185189661	0.224	n/a	n/a	n/a	11562	0.986855582	"Birmingham-Hoover, AL"
H0151_001_0	2012	6	322807.9644	850.8406	0.002369621	0.991347469	0.988998352	841.4799	721.92	729.95	119.56	79.71	0	322807.9644	274137.8616	0.943938434	0.991347469	48670.1028	1.258382278		0	850.8406	843.4787	1	729.9507	0.74	0.26	1	3		0.666666667	0.52532		N/A		0.47468	0.093045036	0.178251098	0.224	n/a	n/a	n/a	160206.415	0.496290156	n/a
H0151_015_0	2012	4	95655.73749	845.0977	0.000596824	1.235021074	1.234283985	1043.0906	974.18	789.27	68.91	45.94	0	95655.73749	29793.66443	1.297761198	1.235021074	65862.07307	1.206639669		0	845.0977	1043.7135	1	789.2673	0.74	0.26	1	3		0.666666667	0.52532		N/A		0.47468	0.093153275	0.177831454	0.224	n/a	n/a	n/a	44691.05691	0.46720728	n/a
H0151_025_0	2012	6	14222.98679	890.43	0.001901048	0.991347469	0.989462871	881.0474	746.16	754.11	134.89	89.93	0	14222.98679	12078.57183	0.943938434	0.991347469	2144.414964	1.258382278		0	890.43	882.7255	1	754.1061	0.74	0.26	1	3		0.666666667	0.52532		N/A		0.47468	0.094911044	0.170958136	0.224	n/a	n/a	n/a	14222.98679	1	"Mobile, AL"
H0151_801_0	2012	2	4213.770977	841.8839	0.001496896	1.144750249	1.143036678	962.3042	852.29	745.64	110.01	73.34	0	4213.770977	4161.78614	1.140472762	1.144750249	51.98483768	1.487196002		0	841.8839	963.7468	1	745.6366	0.74	0.26	1	3		0.666666667	0.52532		N/A		0.47468	0.091279649	0.185037625	0.224	n/a	n/a	n/a	4112.132223	0.975879383	"Birmingham-Hoover, AL"
H0151_804_0	2012	2	23.84406839	841.5884	0.001901048	1.144750249	1.142574024	961.5771	844.25	738.9	117.33	78.22	0	23.84406839	23.54990669	1.140472762	1.144750249	0.294161698	1.487196002		0	841.5884	963.4086	1	738.9018	0.74	0.26	1	3		0.666666667	0.52532		N/A		0.47468	0.093084218	0.178099239	0.224	n/a	n/a	n/a	11.58245238	0.485758227	n/a
H0151_805_0	2012	2	23.84406839	841.5884	0.001901048	1.144750249	1.142574024	961.5771	849.03	743.09	112.55	75.03	0	23.84406839	23.54990669	1.140472762	1.144750249	0.294161698	1.487196002		0	841.5884	963.4086	1	743.0853	0.74	0.26	1	3		0.666666667	0.52532		N/A		0.47468	0.093084218	0.178099239	0.224	n/a	n/a	n/a	11.58245238	0.485758227	n/a
H0154_001_0	2012	7	230562.0992	827.3945	0.004812069	1.01459129	1.009709007	835.4277	713.37	706.51	122.06	87.48	0	230562.0992	202241.4807	0.971977288	1.01459129	28320.61848	1.318903812		0	827.3945	839.4672	1	706.5105	0.74	0.26	1	3.5		0.716666667	0.52532		N/A		0.47468	0.092323435	0.18103823	0.224	n/a	n/a	n/a	159346.5864	0.691122205	"Birmingham-Hoover, AL"
H0154_008_0	2012	6	11564.24364	833.7987	0.018782302	1.030113723	1.010765816	842.7752	711.25	703.67	131.53	94.26	0	11564.24364	11534.53615	1.030113723	1.030113723	29.70749251	1.030113723		0	833.7987	858.9075	1	703.6744	0.74	0.26	1	3.5		0.716666667	0.52532		N/A		0.47468	0.091760379	0.183200343	0.224	n/a	n/a	n/a	9763.644551	0.844295992	"Birmingham-Hoover, AL"
H0154_011_0	2012	7	66576.75484	832.6376	0.003908214	1.057424758	1.053292116	877.0106	782.56	742.97	94.45	67.69	0	66576.75484	66285.36687	1.057424758	1.057424758	291.387969	1.057424758		0	832.6376	880.4516	1	742.9658	0.74	0.26	1	3.5		0.716666667	0.52532		N/A		0.47468	0.09221529	0.181454358	0.224	n/a	n/a	n/a	47966.11078	0.720463334	"Birmingham-Hoover, AL"
H0154_012_0	2012	8	224068.2473	823.7474	0.001357049	1.300036427	1.298272215	1069.4483	945.79	728.5	123.66	88.62	0	224068.2473	89614.90881	1.346886206	1.300036427	134453.3385	1.268810437		0	823.7474	1070.9016	1	728.499	0.74	0.26	1	3.5		0.716666667	0.52532		N/A		0.47468	0.092898285	0.178819399	0.224	n/a	n/a	n/a	120051.2793	0.535779972	"Birmingham-Hoover, AL"
H0154_801_0	2012	4	600	808.0215	0	0.948100187	0.948100187	766.0853	662.94	699.23	103.15	73.92	0	600	600	0.948100187	0.948100187	0	0		0	808.0215	766.0853	1	699.2299	0.74	0.26	1	3.5		0.716666667	0.52532		N/A		0.47468	0.093606366	0.174214714	0.224	n/a	n/a	n/a	194.4785158	0.32413086	n/a
H0154_802_0	2012	4	600	808.0215	0	0.948100187	0.948100187	766.0853	669.07	705.7	97.02	69.53	0	600	600	0.948100187	0.948100187	0	0		0	808.0215	766.0853	1	705.6955	0.74	0.26	1	3.5		0.716666667	0.52532		N/A		0.47468	0.093606366	0.174214714	0.224	n/a	n/a	n/a	194.4785158	0.32413086	n/a
H0154_803_0	2012	4	600	808.0215	0	0.948100187	0.948100187	766.0853	662.94	699.23	103.15	73.92	0	600	600	0.948100187	0.948100187	0	0		0	808.0215	766.0853	1	699.2299	0.74	0.26	1	3.5		0.716666667	0.52532		N/A		0.47468	0.093606366	0.174214714	0.224	n/a	n/a	n/a	194.4785158	0.32413086	n/a
H0248_001_0	2012	6	52212.65976	830.53	0.009333	0.845	0.837113615	695.248	592.3	707.55	102.95	73.78	0	52212.65976	48137.08429	0.814046	0.845	4075.575475	1.210601206		0	830.53	701.7978	1	707.5503	0.74	0.26	1	3.5		0.716666667	0.52532		N/A		0.47468	0.070804835	0.147168803	0.224	n/a	n/a	n/a	52212.65976	1	"Honolulu, HI"
H0248_002_0	2012	9	25297.34203	792.9559	0.009333	0.86	0.85197362	675.5775	591.38	694.13	84.2	60.34	0	25297.34203	25297.34203	0.86	0.86	0	0		0	792.9559	681.942	1	694.1295	0.74	0.26	1	3.5		0.716666667	0.52532		N/A		0.47468	0.068285352	0.144656869	0.224	n/a	n/a	n/a	15239.9329	0.60243218	"Honolulu, HI"
H0251_002_0	2012	6	333026.8611	798.9995	0.000707774	1.140882456	1.14007497	910.9194	803.88	705.11	107.04	71.36	0	333026.8611	3498.048903	1.110907881	1.140882456	329528.8122	1.141200646		0	798.9995	911.5646	1	705.1115	0.74	0.26	1	3		0.666666667	0.52532		N/A		0.47468	0.087888679	0.204318021	0.224	n/a	n/a	n/a	114144.6706	0.342749141	n/a
H0294_001_0	2012	7	8868.177245	816.9408	0.003410468	1.470284502	1.465270144	1197.039	1116.53	762	80.51	53.67	0	8868.177245	0	1.470284502	1.470284502	8868.177245	1.470284502		0	816.9408	1201.1354	1	761.996	0.74	0.26	1	3	New contract under existing parent org	0.666666667	0.52532		N/A		0.47468	0.082951101	0.164369486	0.224	n/a	n/a	n/a	2876.13896	0.324321321	n/a
