"Contract Number","Plan ID","Organization Type","Plan Type","Offers Part D","Organization Name","Organization Marketing Name","Plan Name","Parent Organization","Contract Effective Date","Enrollment"
"90091",,"HCPP - 1833 Cost","HCPP - 1833 Cost","No","UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT","United Mine Workers of America Health & Retirement",,"UMWA Health and Retirement Funds",02/01/1974 0:00:00,"46009"
"E0654","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","IBT VOLUNTARY EMPLOYEE BENEFITS TRUST","TEAMStar Medicare Part D Prescription Drug Program","IBT Voluntary Employee Benefits Trust (Employer PDP)","IBT Voluntary Employee Benefits Trust",01/01/2007 0:00:00,"18233"
"E3014","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","PSERS HOP PROGRAM","Pennsylvania Public School Employees Retirement Sy","PSERS Health Options Program (Employer PDP)","Commonwealth of PA Pub Schools Retirement System",01/01/2007 0:00:00,"88230"
"E4744","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","MODOT/MSHP MEDICAL AND LIFE INSURANCE PLAN","MISSOURI DEPARTMENT OF TRANSPORTATION","Missouri Department of Transportatio/ Highway Patr (Employer PDP)","Missouri Highways and Transportation Commission",01/01/2007 0:00:00,"6348"
"H0022","001","Demo","Medicare-Medicaid Plan HMO","Yes","BUCKEYE COMMUNITY HEALTH PLAN, INC.","Buckeye Health Plan - MyCare Ohio","Buckeye Health Plan - MyCare Ohio (Medicare-Medicaid Plan)","Centene Corporation",05/01/2014 0:00:00,"12574"
"H0028","004","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-004 (HMO)","Humana Inc.",01/01/2013 0:00:00,"6539"
"H0028","007","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus SNP-DE H0028-007 (HMO SNP)","Humana Inc.",01/01/2013 0:00:00,"83"
"H0028","008","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-008 (HMO)","Humana Inc.",01/01/2013 0:00:00,"12752"
"H0028","009","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Value Plus H0028-009 (HMO)","Humana Inc.",01/01/2013 0:00:00,"87"
"H0028","801","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Medicare Employer (HMO)","Humana Inc.",01/01/2013 0:00:00,"*"
