"Contract Number","Plan ID","Organization Type","Plan Type","Offers Part D","Organization Name","Organization Marketing Name","Plan Name","Parent Organization","Contract Effective Date","Enrollment"
"90091",,"HCPP - 1833 Cost","HCPP - 1833 Cost","No","UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT","United Mine Workers of America Health & Retirement",,"UMWA Health and Retirement Funds",02/01/1974 0:00:00,"46000"
"E0654","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","IBT VOLUNTARY EMPLOYEE BENEFITS TRUST","TEAMStar Medicare Part D Prescription Drug Program","IBT Voluntary Employee Benefits Trust (Employer PDP)","IBT Voluntary Employee Benefits Trust",01/01/2007 0:00:00,"18109"
"E3014","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","PSERS HOP PROGRAM","Pennsylvania Public School Employees Retirement Sy","PSERS Health Options Program (Employer PDP)","Commonwealth of PA Pub Schools Retirement System",01/01/2007 0:00:00,"90000"
"E4744","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","MODOT/MSHP MEDICAL AND LIFE INSURANCE PLAN","MISSOURI DEPARTMENT OF TRANSPORTATION","Missouri Department of Transportatio/ Highway Patr (Employer PDP)","Missouri Highways and Transportation Commission",01/01/2007 0:00:00,"6381"
"H0022","001","Demo","Medicare-Medicaid Plan HMO","Yes","BUCKEYE COMMUNITY HEALTH PLAN, INC.","Buckeye Health Plan - MyCare Ohio","Buckeye Health Plan - MyCare Ohio (Medicare-Medicaid Plan)","Centene Corporation",05/01/2014 0:00:00,"13023"
"H0028","004","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-004 (HMO)","Humana Inc.",01/01/2013 0:00:00,"6486"
"H0028","007","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus SNP-DE H0028-007 (HMO SNP)","Humana Inc.",01/01/2013 0:00:00,"82"
"H0028","008","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-008 (HMO)","Humana Inc.",01/01/2013 0:00:00,"13083"
"H0028","009","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Value Plus H0028-009 (HMO)","Humana Inc.",01/01/2013 0:00:00,"94"
"H0028","801","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Medicare Employer (HMO)","Humana Inc.",01/01/2013 0:00:00,"*"
"H0028","802","Local CCP","HMO","No","CHA HMO, INC.","Humana","Humana Medicare Employer (HMO)","Humana Inc.",01/01/2013 0:00:00,"*"
"H0029","001","Local CCP","HMO","Yes","COORDINATED CARE OF WASHINGTON, INC.","Allwell","Allwell Medicare (HMO)","Centene Corporation",01/01/2018 0:00:00,"20"
"H0029","004","Local CCP","HMO","Yes","COORDINATED CARE OF WASHINGTON, INC.","Allwell","Allwell Medicare (HMO)","Centene Corporation",01/01/2018 0:00:00,"139"
"H0029","006","Local CCP","HMO","Yes","COORDINATED CARE OF WASHINGTON, INC.","Allwell","Allwell Medicare Plus (HMO)","Centene Corporation",01/01/2018 0:00:00,"*"
"H0062","001","Local CCP","HMO","Yes","SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.","Allwell","Allwell Medicare (HMO)","Centene Corporation",01/01/2017 0:00:00,"170"
"H0062","002","Local CCP","HMO","Yes","SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.","Allwell","Allwell Medicare (HMO)","Centene Corporation",01/01/2017 0:00:00,"333"
"H0062","003","Local CCP","HMO","Yes","SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.","Allwell","Allwell Medicare (HMO)","Centene Corporation",01/01/2017 0:00:00,"737"
"H0062","004","Local CCP","HMO","Yes","SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.","Allwell","Allwell Medicare (HMO)","Centene Corporation",01/01/2017 0:00:00,"*"
"H0062","005","Local CCP","HMO","Yes","SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.","Allwell","Allwell Medicare (HMO)","Centene Corporation",01/01/2017 0:00:00,"*"
