"Contract Number","Plan ID","Organization Type","Plan Type","Offers Part D","Organization Name","Organization Marketing Name","Plan Name","Parent Organization","Contract Effective Date","Enrollment"
"90091",,"HCPP - 1833 Cost","HCPP - 1833 Cost","No","UNITED MINE WORKERS OF AMERICA HEALTH & RETIREMENT","United Mine Workers of America Health & Retirement",,"UMWA Health and Retirement Funds",02/01/1974 0:00:00,"30174"
"E0654","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","IBT VOLUNTARY EMPLOYEE BENEFITS TRUST","TEAMStar Medicare Part D Prescription Drug Program","IBT VEBA (Employer PDP)","IBT Voluntary Employee Benefits Trust",01/01/2007 0:00:00,"16560"
"E2332","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION","National Rural Electric Cooperative Association","NRECA Medicare Part D Plan (Employer PDP)","National Rural Electric Cooperative Association",01/01/2007 0:00:00,"8146"
"E2630","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","C AND O EMPLOYEES HOSPITAL ASSOCIATION","C and O Employees Hospital Association","C and O Employees Hospital Association (Employer PDP)","C & O Employees' Hospital Association",01/01/2007 0:00:00,"2437"
"E2868","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","CARPENTER'S HEALTH  AND WELFARE TRUST FUND OF STL","Carpenters' District Council of Greater St. Louis","Carpenters' 2012 Plan (Employer PDP)","Carpenters H&W Trust Fund of St. Louis",01/01/2007 0:00:00,"3917"
"E3014","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","PSERS HOP PROGRAM","Pennsylvania Public School Employees Retirement Sy","PSERS HOP (Employer PDP)","Commonwealth of PA Pub Schools Retirement System",01/01/2007 0:00:00,"50654"
"E4744","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","MO DOT AND MSHP MEDICAL AND LIFE INS PLAN","MISSOURI DEPARTMENT OF TRANSPORTATION","Missouri Department of Transportaion/ Highway Patr (Employer PDP)","Missouri  DOT/State Highway Patrol Med & Life Ins",01/01/2007 0:00:00,"5601"
"E5088","801","Employer/Union Only Direct Contract PFFS","Employer/Union Only Direct Contract PFFS","No","DESERET HEALTHCARE EMPLOYEE BENEFITS TRUST","Deseret Mutual","Deseret Secure (Employer PFFS)","DMBA (Deseret Mutual Benefit Administrators)",01/01/2007 0:00:00,"12008"
"E6322","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","KENTUCKY RETIREMENT SYSTEM","Kentucky Retirement Systems","Kentucky Retirement Systems (Employer PDP)","Kentucky Retirement Systems",01/01/2010 0:00:00,"34229"
"E7316","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS","Union Pacific Railroad  Employes Health Systems","The UPREHS Prime Medicare Plan (Employer PDP)","Union Pacific Railroad Employes Health Systems",01/01/2007 0:00:00,"12046"
"E7848","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","OKLAHOMA STATE AND EDUCATION EMP GRP INS BOARD","HealthChoice","OK State and Education Emp Group Ins Board (Employer PDP)","Oklahoma State and Educ Employees Group Ins Board",01/01/2007 0:00:00,"33562"
"H0084","001","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Medicare Advantage (PPO)","UnitedHealth Group, Inc.",01/01/2009 0:00:00,"2217"
"H0084","003","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Silver Rx (PPO SNP)","UnitedHealth Group, Inc.",01/01/2009 0:00:00,"518"
"H0084","004","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Gold Rx (PPO SNP)","UnitedHealth Group, Inc.",01/01/2009 0:00:00,"436"
"H0084","005","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Dual Advantage (PPO SNP)","UnitedHealth Group, Inc.",01/01/2009 0:00:00,"393"
"H0084","006","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Silver Rx (PPO SNP)","UnitedHealth Group, Inc.",01/01/2009 0:00:00,"12"
"H0084","007","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Gold Rx (PPO SNP)","UnitedHealth Group, Inc.",01/01/2009 0:00:00,"13"
"H0084","009","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Medicare Advantage (PPO)","UnitedHealth Group, Inc.",01/01/2009 0:00:00,"*"
"H0084","010","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Silver Rx (PPO SNP)","UnitedHealth Group, Inc.",01/01/2009 0:00:00,"44"
"H0084","011","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Gold Rx (PPO SNP)","UnitedHealth Group, Inc.",01/01/2009 0:00:00,"12"
"H0084","012","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Dual Advantage (PPO SNP)","UnitedHealth Group, Inc.",01/01/2009 0:00:00,"11"
"H0084","013","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Medicare Advantage (PPO)","UnitedHealth Group, Inc.",01/01/2009 0:00:00,"*"
"H0084","014","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Silver Rx (PPO SNP)","UnitedHealth Group, Inc.",01/01/2009 0:00:00,"17"
"H0084","015","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Gold Rx (PPO SNP)","UnitedHealth Group, Inc.",01/01/2009 0:00:00,"75"
"H0084","016","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Dual Advantage (PPO SNP)","UnitedHealth Group, Inc.",01/01/2009 0:00:00,"15"
"H0084","017","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Medicare Advantage (PPO)","UnitedHealth Group, Inc.",01/01/2009 0:00:00,"*"
"H0084","018","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Silver Rx (PPO SNP)","UnitedHealth Group, Inc.",01/01/2009 0:00:00,"42"
"H0084","019","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Gold Rx (PPO SNP)","UnitedHealth Group, Inc.",01/01/2009 0:00:00,"75"
"H0084","021","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Medicare Advantage (PPO)","UnitedHealth Group, Inc.",01/01/2009 0:00:00,"38"
"H0084","022","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Silver Rx (PPO SNP)","UnitedHealth Group, Inc.",01/01/2009 0:00:00,"43"
"H0084","023","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Gold Rx (PPO SNP)","UnitedHealth Group, Inc.",01/01/2009 0:00:00,"22"
