"BusinessYear","StateCode","IssuerId","SourceName","ImportDate","ServiceAreaId","ServiceAreaName","CoverEntireState","County","PartialCounty","ZipCodes","PartialCountyJustification","MarketCoverage","DentalOnlyPlan"
"2019","AK","21989","HIOS","2018-10-16 03:20:23","AKS001","Alaska","Yes",,,,,,
"2019","AK","21989","HIOS","2018-10-16 03:20:23","AKS002","Alaska","No","02020","No",,,,
"2019","AK","21989","HIOS","2018-10-16 03:20:23","AKS002","Alaska","No","02170","No",,,,
"2019","AK","21989","HIOS","2018-10-16 03:20:23","AKS002","Alaska","No","02090","No",,,,
"2019","AK","38344","HIOS","2019-07-19 03:51:33","AKS001","PBCBSAK Service Area","Yes",,,,,,
"2019","AK","73836","HIOS","2019-01-18 03:20:20","AKS001","AK Prov","Yes",,,,,,
"2019","AK","73836","HIOS","2019-01-18 03:20:20","AKS002","AK Select","No","02013","No",,,,
"2019","AK","73836","HIOS","2019-01-18 03:20:20","AKS002","AK Select","No","02016","No",,,,
"2019","AK","73836","HIOS","2019-01-18 03:20:20","AKS002","AK Select","No","02020","No",,,,
"2019","AK","73836","HIOS","2019-01-18 03:20:20","AKS002","AK Select","No","02050","No",,,,
"2019","AK","73836","HIOS","2019-01-18 03:20:20","AKS002","AK Select","No","02060","No",,,,
"2019","AK","73836","HIOS","2019-01-18 03:20:20","AKS002","AK Select","No","02068","No",,,,
"2019","AK","73836","HIOS","2019-01-18 03:20:20","AKS002","AK Select","No","02070","No",,,,
"2019","AK","73836","HIOS","2019-01-18 03:20:20","AKS002","AK Select","No","02090","No",,,,
"2019","AK","73836","HIOS","2019-01-18 03:20:20","AKS002","AK Select","No","02100","No",,,,
"2019","AK","73836","HIOS","2019-01-18 03:20:20","AKS002","AK Select","No","02105","No",,,,
"2019","AK","73836","HIOS","2019-01-18 03:20:20","AKS002","AK Select","No","02110","No",,,,
"2019","AK","73836","HIOS","2019-01-18 03:20:20","AKS002","AK Select","No","02130","No",,,,
"2019","AK","73836","HIOS","2019-01-18 03:20:20","AKS002","AK Select","No","02150","No",,,,
"2019","AK","73836","HIOS","2019-01-18 03:20:20","AKS002","AK Select","No","02158","No",,,,
"2019","AK","73836","HIOS","2019-01-18 03:20:20","AKS002","AK Select","No","02164","No",,,,
"2019","AK","73836","HIOS","2019-01-18 03:20:20","AKS002","AK Select","No","02170","No",,,,
"2019","AK","73836","HIOS","2019-01-18 03:20:20","AKS002","AK Select","No","02180","No",,,,
"2019","AK","73836","HIOS","2019-01-18 03:20:20","AKS002","AK Select","No","02185","No",,,,
"2019","AK","73836","HIOS","2019-01-18 03:20:20","AKS002","AK Select","No","02188","No",,,,
"2019","AK","73836","HIOS","2019-01-18 03:20:20","AKS002","AK Select","No","02195","No",,,,
"2019","AK","73836","HIOS","2019-01-18 03:20:20","AKS002","AK Select","No","02198","No",,,,
"2019","AK","73836","HIOS","2019-01-18 03:20:20","AKS002","AK Select","No","02220","No",,,,
"2019","AK","73836","HIOS","2019-01-18 03:20:20","AKS002","AK Select","No","02240","No",,,,
"2019","AK","73836","HIOS","2019-01-18 03:20:20","AKS002","AK Select","No","02230","No",,,,
"2019","AK","73836","HIOS","2019-01-18 03:20:20","AKS002","AK Select","No","02261","No",,,,
"2019","AK","73836","HIOS","2019-01-18 03:20:20","AKS002","AK Select","No","02275","No",,,,
"2019","AK","73836","HIOS","2019-01-18 03:20:20","AKS002","AK Select","No","02282","No",,,,
"2019","AK","73836","HIOS","2019-01-18 03:20:20","AKS002","AK Select","No","02290","No",,,,
"2019","AK","73836","HIOS","2019-01-18 03:20:20","AKS003","AK Pioneer","No","02122","No",,,,
"2019","AK","74819","HIOS","2018-06-12 02:20:28","AKS001","BEST Life Alaska","Yes",,,,,,
"2019","AL","12538","HIOS","2018-06-12 02:20:28","ALS001","BEST Life Alabama","Yes",,,,,,
"2019","AL","18239","HIOS","2018-07-16 02:09:42","ALS001","AL PPO Exchange","No","01001","No",,,,
"2019","AL","18239","HIOS","2018-07-16 02:09:42","ALS001","AL PPO Exchange","No","01003","No",,,,
"2019","AL","18239","HIOS","2018-07-16 02:09:42","ALS001","AL PPO Exchange","No","01005","No",,,,
"2019","AL","18239","HIOS","2018-07-16 02:09:42","ALS001","AL PPO Exchange","No","01009","No",,,,
"2019","AL","18239","HIOS","2018-07-16 02:09:42","ALS001","AL PPO Exchange","No","01011","No",,,,
"2019","AL","18239","HIOS","2018-07-16 02:09:42","ALS001","AL PPO Exchange","No","01015","No",,,,
"2019","AL","18239","HIOS","2018-07-16 02:09:42","ALS001","AL PPO Exchange","No","01029","No",,,,
"2019","AL","18239","HIOS","2018-07-16 02:09:42","ALS001","AL PPO Exchange","No","01017","No",,,,
"2019","AL","18239","HIOS","2018-07-16 02:09:42","ALS001","AL PPO Exchange","No","01019","No",,,,
"2019","AL","18239","HIOS","2018-07-16 02:09:42","ALS001","AL PPO Exchange","No","01021","No",,,,
"2019","AL","18239","HIOS","2018-07-16 02:09:42","ALS001","AL PPO Exchange","No","01031","No",,,,
"2019","AL","18239","HIOS","2018-07-16 02:09:42","ALS001","AL PPO Exchange","No","01033","No",,,,
"2019","AL","18239","HIOS","2018-07-16 02:09:42","ALS001","AL PPO Exchange","No","01039","No",,,,
"2019","AL","18239","HIOS","2018-07-16 02:09:42","ALS001","AL PPO Exchange","No","01043","No",,,,
"2019","AL","18239","HIOS","2018-07-16 02:09:42","ALS001","AL PPO Exchange","No","01047","No",,,,
"2019","AL","18239","HIOS","2018-07-16 02:09:42","ALS001","AL PPO Exchange","No","01045","No",,,,
"2019","AL","18239","HIOS","2018-07-16 02:09:42","ALS001","AL PPO Exchange","No","01049","No",,,,
"2019","AL","18239","HIOS","2018-07-16 02:09:42","ALS001","AL PPO Exchange","No","01051","No",,,,
"2019","AL","18239","HIOS","2018-07-16 02:09:42","ALS001","AL PPO Exchange","No","01055","No",,,,
"2019","AL","18239","HIOS","2018-07-16 02:09:42","ALS001","AL PPO Exchange","No","01059","No",,,,
"2019","AL","18239","HIOS","2018-07-16 02:09:42","ALS001","AL PPO Exchange","No","01069","No",,,,
"2019","AL","18239","HIOS","2018-07-16 02:09:42","ALS001","AL PPO Exchange","No","01071","No",,,,
"2019","AL","18239","HIOS","2018-07-16 02:09:42","ALS001","AL PPO Exchange","No","01073","No",,,,
"2019","AL","18239","HIOS","2018-07-16 02:09:42","ALS001","AL PPO Exchange","No","01077","No",,,,
"2019","AL","18239","HIOS","2018-07-16 02:09:42","ALS001","AL PPO Exchange","No","01081","No",,,,
"2019","AL","18239","HIOS","2018-07-16 02:09:42","ALS001","AL PPO Exchange","No","01083","No",,,,
"2019","AL","18239","HIOS","2018-07-16 02:09:42","ALS001","AL PPO Exchange","No","01085","No",,,,
"2019","AL","18239","HIOS","2018-07-16 02:09:42","ALS001","AL PPO Exchange","No","01087","No",,,,
"2019","AL","18239","HIOS","2018-07-16 02:09:42","ALS001","AL PPO Exchange","No","01089","No",,,,
"2019","AL","18239","HIOS","2018-07-16 02:09:42","ALS001","AL PPO Exchange","No","01095","No",,,,
"2019","AL","18239","HIOS","2018-07-16 02:09:42","ALS001","AL PPO Exchange","No","01097","No",,,,
"2019","AL","18239","HIOS","2018-07-16 02:09:42","ALS001","AL PPO Exchange","No","01099","No",,,,
