"Contract Number","Plan ID","Organization Type","Plan Type","Offers Part D","Organization Name","Organization Marketing Name","Plan Name","Parent Organization","Contract Effective Date","Enrollment"
"90091",,"HCPP - 1833 Cost","HCPP - 1833 Cost","No","UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT","United Mine Workers of America Health & Retirement",,"UMWA Health and Retirement Funds",02/01/1974 0:00:00,"46040"
"E0654","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","IBT VOLUNTARY EMPLOYEE BENEFITS TRUST","TEAMStar Medicare Part D Prescription Drug Program","IBT Voluntary Employee Benefits Trust (Employer PDP)","IBT Voluntary Employee Benefits Trust",01/01/2007 0:00:00,"18177"
"E3014","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","PSERS HOP PROGRAM","Pennsylvania Public School Employees Retirement Sy","PSERS Health Options Program (Employer PDP)","Commonwealth of PA Pub Schools Retirement System",01/01/2007 0:00:00,"89458"
"E4744","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","MODOT/MSHP MEDICAL AND LIFE INSURANCE PLAN","MISSOURI DEPARTMENT OF TRANSPORTATION","Missouri Department of Transportatio/ Highway Patr (Employer PDP)","Missouri Highways and Transportation Commission",01/01/2007 0:00:00,"6366"
"H0022","001","Demo","Medicare-Medicaid Plan HMO","Yes","BUCKEYE COMMUNITY HEALTH PLAN, INC.","Buckeye Health Plan - MyCare Ohio","Buckeye Health Plan - MyCare Ohio (Medicare-Medicaid Plan)","Centene Corporation",05/01/2014 0:00:00,"13510"
"H0028","004","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-004 (HMO)","Humana Inc.",01/01/2013 0:00:00,"6487"
"H0028","007","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus SNP-DE H0028-007 (HMO SNP)","Humana Inc.",01/01/2013 0:00:00,"75"
"H0028","008","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-008 (HMO)","Humana Inc.",01/01/2013 0:00:00,"12900"
"H0028","009","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Value Plus H0028-009 (HMO)","Humana Inc.",01/01/2013 0:00:00,"89"
"H0028","801","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Medicare Employer (HMO)","Humana Inc.",01/01/2013 0:00:00,"*"
"H0028","802","Local CCP","HMO","No","CHA HMO, INC.","Humana","Humana Medicare Employer (HMO)","Humana Inc.",01/01/2013 0:00:00,"*"
"H0029","001","Local CCP","HMO","Yes","COORDINATED CARE OF WASHINGTON, INC.","Allwell","Allwell Medicare (HMO)","Centene Corporation",01/01/2018 0:00:00,"20"
"H0029","004","Local CCP","HMO","Yes","COORDINATED CARE OF WASHINGTON, INC.","Allwell","Allwell Medicare (HMO)","Centene Corporation",01/01/2018 0:00:00,"142"
"H0029","006","Local CCP","HMO","Yes","COORDINATED CARE OF WASHINGTON, INC.","Allwell","Allwell Medicare Plus (HMO)","Centene Corporation",01/01/2018 0:00:00,"*"
"H0062","001","Local CCP","HMO","Yes","SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.","Allwell","Allwell Medicare (HMO)","Centene Corporation",01/01/2017 0:00:00,"156"
"H0062","002","Local CCP","HMO","Yes","SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.","Allwell","Allwell Medicare (HMO)","Centene Corporation",01/01/2017 0:00:00,"337"
"H0062","003","Local CCP","HMO","Yes","SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.","Allwell","Allwell Medicare (HMO)","Centene Corporation",01/01/2017 0:00:00,"659"
"H0062","004","Local CCP","HMO","Yes","SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.","Allwell","Allwell Medicare (HMO)","Centene Corporation",01/01/2017 0:00:00,"*"
"H0062","005","Local CCP","HMO","Yes","SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.","Allwell","Allwell Medicare (HMO)","Centene Corporation",01/01/2017 0:00:00,"*"
"H0088","001","Local CCP","Local PPO","Yes","WELLCARE HEALTH INSURANCE OF NEW YORK, INC.","WellCare","WellCare Premier (PPO)","WellCare Health Plans, Inc.",01/01/2018 0:00:00,"70"
"H0104","012","Local CCP","Local PPO","Yes","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Advantage (PPO)","Blue Advantage Complete (PPO)","BlueCross BlueShield of Alabama",07/01/2005 0:00:00,"31550"
"H0104","014","Local CCP","Local PPO","Yes","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Advantage (PPO)","Blue Advantage Complete (PPO)","BlueCross BlueShield of Alabama",07/01/2005 0:00:00,"29695"
"H0104","015","Local CCP","Local PPO","Yes","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Advantage (PPO)","Blue Advantage Premier (PPO)","BlueCross BlueShield of Alabama",07/01/2005 0:00:00,"6381"
"H0104","801","Local CCP","Local PPO","No","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Advantage (PPO)","Blue Advantage Employer Group Plan 801 (PPO)","BlueCross BlueShield of Alabama",07/01/2005 0:00:00,"*"
"H0104","802","Local CCP","Local PPO","Yes","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Advantage (PPO)","Blue Advantage Employer Group Plan 802 (PPO)","BlueCross BlueShield of Alabama",07/01/2005 0:00:00,"22682"
"H0104","804","Local CCP","Local PPO","Yes","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Advantage (PPO)","Blue Advantage Employer Group Plan 804 (PPO)","BlueCross BlueShield of Alabama",07/01/2005 0:00:00,"*"
"H0105","001","National PACE","National PACE","Yes","THE METHODIST OAKS","The Methodist Oaks d.b.a. The Oaks PACE","The Methodist Oaks d.b.a. The Oaks PACE (PACE)","The Methodist Oaks",03/01/2008 0:00:00,"99"
"H0105","002","National PACE","National PACE","Yes","THE METHODIST OAKS","The Methodist Oaks d.b.a. The Oaks PACE","The Methodist Oaks d.b.a. The Oaks PACE (PACE)","The Methodist Oaks",03/01/2008 0:00:00,"*"
"H0107","003","Local CCP","Local PPO","Yes","HEALTH CARE SERVICE CORPORATION","Blue Cross and Blue Shield of Montana","Blue Cross Medicare Advantage Classic (PPO)","Health Care Service Corporation",01/01/2014 0:00:00,"13602"
"H0107","004","Local CCP","Local PPO","Yes","HEALTH CARE SERVICE CORPORATION","Blue Cross and Blue Shield of Montana","Blue Cross Medicare Advantage Optimum (PPO)","Health Care Service Corporation",01/01/2014 0:00:00,"3891"
"H0107","801","Local CCP","Local PPO","Yes","HEALTH CARE SERVICE CORPORATION","Blue Cross and Blue Shield of Montana","Blue Cross Medicare Advantage Employer Ideal (PPO)","Health Care Service Corporation",01/01/2014 0:00:00,"989"
"H0107","802","Local CCP","Local PPO","Yes","HEALTH CARE SERVICE CORPORATION","Blue Cross and Blue Shield of Montana","Blue Cross Medicare Advantage Employer Expanded (PPO)","Health Care Service Corporation",01/01/2014 0:00:00,"*"
