"Contract Number","Plan ID","Organization Type","Plan Type","Offers Part D","Organization Name","Organization Marketing Name","Plan Name","Parent Organization","Contract Effective Date","Enrollment"
"90091",,"HCPP - 1833 Cost","HCPP - 1833 Cost","No","UNITED MINE WORKERS OF AMERICA HEALTH & RETIREMENT","United Mine Workers of America Health & Retirement",,"UMWA Health and Retirement Funds",02/01/1974 0:00:00,"30304"
"E0654","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","IBT VOLUNTARY EMPLOYEE BENEFITS TRUST","TEAMStar Medicare Part D Prescription Drug Program","IBT VEBA (Employer PDP)","IBT Voluntary Employee Benefits Trust",01/01/2007 0:00:00,"16592"
"E2332","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION","National Rural Electric Cooperative Association","NRECA Medicare Part D Plan (Employer PDP)","National Rural Electric Cooperative Association",01/01/2007 0:00:00,"8175"
"E2630","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","C AND O EMPLOYEES HOSPITAL ASSOCIATION","C and O Employees Hospital Association","C and O Employees Hospital Association (Employer PDP)","C & O Employees' Hospital Association",01/01/2007 0:00:00,"2448"
"E2868","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","CARPENTER'S HEALTH  AND WELFARE TRUST FUND OF STL","Carpenters' District Council of Greater St. Louis","Carpenters' 2012 Plan (Employer PDP)","Carpenters H&W Trust Fund of St. Louis",01/01/2007 0:00:00,"3917"
"E3014","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","PSERS HOP PROGRAM","Pennsylvania Public School Employees Retirement Sy","PSERS HOP (Employer PDP)","Commonwealth of PA Pub Schools Retirement System",01/01/2007 0:00:00,"50293"
"E4744","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","MO DOT AND MSHP MEDICAL AND LIFE INS PLAN","MISSOURI DEPARTMENT OF TRANSPORTATION","Missouri Department of Transportaion/ Highway Patr (Employer PDP)","Missouri  DOT/State Highway Patrol Med & Life Ins",01/01/2007 0:00:00,"5602"
"E5088","801","Employer/Union Only Direct Contract PFFS","Employer/Union Only Direct Contract PFFS","No","DESERET HEALTHCARE EMPLOYEE BENEFITS TRUST","Deseret Mutual","Deseret Secure (Employer PFFS)","DMBA (Deseret Mutual Benefit Administrators)",01/01/2007 0:00:00,"12002"
"E6036","801","Employer/Union Only Direct Contract PFFS","Employer/Union Only Direct Contract PFFS","Yes","ASOCIACION DE MAESTROS DE PUERTO RICO","PROSSAM Plus","PROSSAM Plus (Employer PFFS)","Asociacion De Maestros De Puerto Rico",01/01/2008 0:00:00,"*"
"E6322","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","KENTUCKY RETIREMENT SYSTEM","Kentucky Retirement Systems","Kentucky Retirement Systems (Employer PDP)","Kentucky Retirement Systems",01/01/2010 0:00:00,"34004"
"E7316","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS","Union Pacific Railroad  Employes Health Systems","The UPREHS Prime Medicare Plan (Employer PDP)","Union Pacific Railroad Employes Health Systems",01/01/2007 0:00:00,"12060"
"E7848","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","OKLAHOMA STATE AND EDUCATION EMP GRP INS BOARD","HealthChoice","OK State and Education Emp Group Ins Board (Employer PDP)","Oklahoma State and Educ Employees Group Ins Board",01/01/2007 0:00:00,"33508"
"H0084","001","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Medicare Advantage (PPO)","XLHealth Corporation",01/01/2009 0:00:00,"2191"
"H0084","003","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Silver Rx (PPO SNP)","XLHealth Corporation",01/01/2009 0:00:00,"455"
"H0084","004","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Gold Rx (PPO SNP)","XLHealth Corporation",01/01/2009 0:00:00,"369"
"H0084","005","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Dual Advantage (PPO SNP)","XLHealth Corporation",01/01/2009 0:00:00,"290"
"H0084","006","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Silver Rx (PPO SNP)","XLHealth Corporation",01/01/2009 0:00:00,"*"
"H0084","007","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Gold Rx (PPO SNP)","XLHealth Corporation",01/01/2009 0:00:00,"11"
"H0084","009","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Medicare Advantage (PPO)","XLHealth Corporation",01/01/2009 0:00:00,"*"
"H0084","010","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Silver Rx (PPO SNP)","XLHealth Corporation",01/01/2009 0:00:00,"38"
"H0084","011","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Gold Rx (PPO SNP)","XLHealth Corporation",01/01/2009 0:00:00,"*"
"H0084","012","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Dual Advantage (PPO SNP)","XLHealth Corporation",01/01/2009 0:00:00,"*"
"H0084","013","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Medicare Advantage (PPO)","XLHealth Corporation",01/01/2009 0:00:00,"*"
"H0084","014","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Silver Rx (PPO SNP)","XLHealth Corporation",01/01/2009 0:00:00,"12"
"H0084","015","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Gold Rx (PPO SNP)","XLHealth Corporation",01/01/2009 0:00:00,"60"
"H0084","016","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Dual Advantage (PPO SNP)","XLHealth Corporation",01/01/2009 0:00:00,"*"
"H0084","017","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Medicare Advantage (PPO)","XLHealth Corporation",01/01/2009 0:00:00,"*"
"H0084","018","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Silver Rx (PPO SNP)","XLHealth Corporation",01/01/2009 0:00:00,"43"
"H0084","019","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Gold Rx (PPO SNP)","XLHealth Corporation",01/01/2009 0:00:00,"74"
"H0084","021","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Medicare Advantage (PPO)","XLHealth Corporation",01/01/2009 0:00:00,"37"
"H0084","022","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Silver Rx (PPO SNP)","XLHealth Corporation",01/01/2009 0:00:00,"40"
"H0084","023","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Gold Rx (PPO SNP)","XLHealth Corporation",01/01/2009 0:00:00,"19"
"H0084","025","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Medicare Advantage (PPO)","XLHealth Corporation",01/01/2009 0:00:00,"*"
"H0104","010","Local CCP","Local PPO","Yes","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Cross and Blue Shield of Alabama","Blue Advantage Premier (PPO)","BlueCross BlueShield of Alabama",07/01/2005 0:00:00,"6318"
"H0104","011","Local CCP","Local PPO","Yes","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Cross and Blue Shield of Alabama","Blue Advantage Complete (PPO)","BlueCross BlueShield of Alabama",07/01/2005 0:00:00,"34894"
"H0104","801","Local CCP","Local PPO","No","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Cross and Blue Shield of Alabama","Blue Advantage Employer Group Plan 801 (PPO)","BlueCross BlueShield of Alabama",07/01/2005 0:00:00,"*"
"H0104","802","Local CCP","Local PPO","Yes","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Cross and Blue Shield of Alabama","Blue Advantage Employer Group Plan 802 (PPO)","BlueCross BlueShield of Alabama",07/01/2005 0:00:00,"*"
"H0104","804","Local CCP","Local PPO","Yes","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Cross and Blue Shield of Alabama","Blue Advantage Employer Group Plan 804 (PPO)","BlueCross BlueShield of Alabama",07/01/2005 0:00:00,"*"
"H0105","001","National PACE","National PACE","Yes","THE METHODIST OAKS","The Methodist Oaks d.b.a. The Oaks PACE","The Methodist Oaks d.b.a. The Oaks PACE (PACE)","The Methodist Oaks",03/01/2008 0:00:00,"93"
"H0105","002","National PACE","National PACE","Yes","THE METHODIST OAKS","The Methodist Oaks d.b.a. The Oaks PACE","The Methodist Oaks d.b.a. The Oaks PACE (PACE)","The Methodist Oaks",03/01/2008 0:00:00,"12"
"H0108","004","Local CCP","HMO","Yes","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-004 (HMO)","Humana Inc.",01/01/2010 0:00:00,"5626"
"H0108","005","Local CCP","HMO","Yes","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-005 (HMO)","Humana Inc.",01/01/2010 0:00:00,"1561"
"H0108","006","Local CCP","HMOPOS","Yes","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-006 (HMO-POS)","Humana Inc.",01/01/2010 0:00:00,"1191"
"H0108","008","Local CCP","HMO","Yes","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-008 (HMO)","Humana Inc.",01/01/2010 0:00:00,"627"
"H0108","009","Local CCP","HMOPOS","Yes","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-009 (HMO-POS)","Humana Inc.",01/01/2010 0:00:00,"1226"
"H0108","010","Local CCP","HMOPOS","Yes","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-010 (HMO-POS)","Humana Inc.",01/01/2010 0:00:00,"1654"
"H0108","011","Local CCP","HMO","Yes","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-011 (HMO)","Humana Inc.",01/01/2010 0:00:00,"690"
"H0108","012","Local CCP","HMOPOS","Yes","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-012 (HMO-POS)","Humana Inc.",01/01/2010 0:00:00,"105"
"H0108","013","Local CCP","HMO","Yes","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-013 (HMO)","Humana Inc.",01/01/2010 0:00:00,"516"
"H0108","014","Local CCP","HMOPOS","Yes","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-014 (HMO-POS)","Humana Inc.",01/01/2010 0:00:00,"220"
"H0108","801","Local CCP","HMO","Yes","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Employer Sponsored (HMO)","Humana Inc.",01/01/2010 0:00:00,"*"
"H0108","802","Local CCP","HMO","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Employer Sponsored (HMO)","Humana Inc.",01/01/2010 0:00:00,"*"
"H0108","803","Local CCP","HMO","Yes","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Employer Sponsored Non-CY (HMO)","Humana Inc.",01/01/2010 0:00:00,"*"
"H0117","005","Local CCP","HMO","Yes","WELLCARE OF OHIO, INC.","WellCare","WellCare Value (HMO)","WellCare Health Plans, Inc.",01/01/2008 0:00:00,"2915"
"H0117","007","Local CCP","HMO","Yes","WELLCARE OF OHIO, INC.","WellCare","WellCare Access (HMO SNP)","WellCare Health Plans, Inc.",01/01/2008 0:00:00,"1110"
"H0141","001","Local CCP","HMO","Yes","CARESOURCE MICHIGAN","CareSource","CareSource Advantage (HMO SNP)","CareSource",01/01/2008 0:00:00,"485"
"H0150","001","Local CCP","HMO","Yes","HEALTHSPRING OF ALABAMA, INC.","Healthspring of Alabama, Inc.","HealthyAdvantage Preferred (HMO)","HealthSpring, Inc.",03/01/1994 0:00:00,"20025"
