"Contract Number","Plan ID","Organization Type","Plan Type","Offers Part D","Organization Name","Organization Marketing Name","Plan Name","Parent Organization","Contract Effective Date","Enrollment"
"90091",,"HCPP - 1833 Cost","HCPP - 1833 Cost","No","UNITED MINE WORKERS OF AMERICA HEALTH & RETIREMENT","United Mine Workers of America Health & Retirement",,"UMWA Health and Retirement Funds",2/1/1974 0:00:00,"28896"
"E0654","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","IBT VOLUNTARY EMPLOYEE BENEFITS TRUST","TEAMStar Medicare Part D Prescription Drug Program","IBT VEBA (Employer PDP)","IBT Voluntary Employee Benefits Trust",1/1/2007 0:00:00,"16341"
"E2332","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION","National Rural Electric Cooperative Association","NRECA Medicare Part D Plan (Employer PDP)","National Rural Electric Cooperative Association",1/1/2007 0:00:00,"8280"
"E2630","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","C AND O EMPLOYEES HOSPITAL ASSOCIATION","C and O Employees Hospital Association","C and O Employees Hospital Association (Employer PDP)","C & O Employees' Hospital Association",1/1/2007 0:00:00,"2370"
"E2868","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","CARPENTER'S HEALTH  AND WELFARE TRUST FUND OF STL","Carpenters' District Council of Greater St. Louis","Carpenters' 2012 Plan (Employer PDP)","Carpenters H&W Trust Fund of St. Louis",1/1/2007 0:00:00,"3926"
"E3014","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","PSERS HOP PROGRAM","Pennsylvania Public School Employees Retirement Sy","PSERS HOP (Employer PDP)","Commonwealth of PA Pub Schools Retirement System",1/1/2007 0:00:00,"54348"
"E4744","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","MO DOT AND MSHP MEDICAL AND LIFE INS PLAN","MISSOURI DEPARTMENT OF TRANSPORTATION","Missouri Department of Transportaion/ Highway Patr (Employer PDP)","Missouri  DOT/State Highway Patrol Med & Life Ins",1/1/2007 0:00:00,"5731"
"E5088","801","Employer/Union Only Direct Contract PFFS","Employer/Union Only Direct Contract PFFS","No","DESERET HEALTHCARE EMPLOYEE BENEFITS TRUST","Deseret Mutual","Deseret Secure (Employer PFFS)","DMBA (Deseret Mutual Benefit Administrators)",1/1/2007 0:00:00,"12208"
"E6322","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","KENTUCKY RETIREMENT SYSTEM","Kentucky Retirement Systems","Kentucky Retirement Systems (Employer PDP)","Kentucky Retirement Systems",1/1/2010 0:00:00,"36663"
"E7316","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS","Union Pacific Railroad  Employes Health Systems","The UPREHS Prime Medicare Plan (Employer PDP)","Union Pacific Railroad Employes Health Systems",1/1/2007 0:00:00,"12013"
"E7848","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","OMES EMPLOYEES GROUP INSURANCE DIVISION","HealthChoice","OK State and Education Emp Group Ins Board (Employer PDP)","State of Oklahoma",1/1/2007 0:00:00,"33953"
"H0084","001","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Medicare Advantage (PPO)","UnitedHealth Group, Inc.",1/1/2009 0:00:00,"2378"
"H0084","003","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Silver Rx (PPO SNP)","UnitedHealth Group, Inc.",1/1/2009 0:00:00,"1376"
"H0084","004","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Gold Rx (PPO SNP)","UnitedHealth Group, Inc.",1/1/2009 0:00:00,"1096"
"H0084","005","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Dual Advantage (PPO SNP)","UnitedHealth Group, Inc.",1/1/2009 0:00:00,"1524"
"H0084","006","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Silver Rx (PPO SNP)","UnitedHealth Group, Inc.",1/1/2009 0:00:00,"41"
"H0084","007","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Gold Rx (PPO SNP)","UnitedHealth Group, Inc.",1/1/2009 0:00:00,"43"
"H0084","009","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Medicare Advantage (PPO)","UnitedHealth Group, Inc.",1/1/2009 0:00:00,"11"
"H0084","010","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Silver Rx (PPO SNP)","UnitedHealth Group, Inc.",1/1/2009 0:00:00,"83"
"H0084","011","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Gold Rx (PPO SNP)","UnitedHealth Group, Inc.",1/1/2009 0:00:00,"46"
"H0084","012","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Dual Advantage (PPO SNP)","UnitedHealth Group, Inc.",1/1/2009 0:00:00,"49"
"H0084","013","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Medicare Advantage (PPO)","UnitedHealth Group, Inc.",1/1/2009 0:00:00,"*"
